"IdCandidatoWeb","Candidato","Partido","TemaCodigo","Tema","PropuestaCorta","PropuestaDetalle","Fuentes","CantidadFuentes","FuenteDataset"
"rla","Rafael López Aliaga","Renovación Popular","seguridad","Seguridad","Más patrullaje e inteligencia; endurecer penas.","Respaldó estados de emergencia en Lima y pidió medidas “drásticas y urgentes” contra el crimen; énfasis en soporte tecnológico y coordinación interinstitucional.","https://www.tvperu.gob.pe/noticias/nacionales/rafael-lopez-aliaga-tenemos-registro-de-que-el-estado-de-emergencia-en-lima-si-nos-ha-funcionado; https://andina.pe/agencia/noticia-alcalde-lima-pide-aplicar-medidas-drasticas-y-urgentes-contra-delincuencia-1048236.aspx; https://www.infobae.com/peru/2023/10/10/rafael-lopez-aliaga-se-refirio-al-estado-de-emergencia-anunciado-en-lince-y-cercado-de-lima/","3","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","educacion","Educacion","Meritocracia y gestión por resultados.","Sin documento propio reciente con metas/presupuesto. El plan RP 2021 contiene ejes sociales y educativos (histórico).","https://mpesije.jne.gob.pe/docs/e5c14965-b72b-475c-bcb5-f5faa0534932.pdf","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","mineria","Mineria","Promoción con estabilidad jurídica.","No se halló propuesta minera propia con indicadores en 2024–2025.","","0","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","produccion","Produccion","Simplificación de trámites.","Sin lineamientos productivos detallados recientes; referencias históricas en plan RP 2021.","https://mpesije.jne.gob.pe/docs/e5c14965-b72b-475c-bcb5-f5faa0534932.pdf","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","economia","Economia","Competitividad y disciplina fiscal.","Plantea que Petroperú no sea rescatada con recursos públicos y propone entregarla a sus trabajadores como salida a la crisis.","https://www.infobae.com/peru/2025/07/04/rafael-lopez-aliaga-sugiere-entregar-petroperu-a-sus-trabajadores-y-advierte-vacancia-de-dina-boluarte-si-hay-rescate-financiero/","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","social","Social","Defensa de la familia tradicional.","Postura pública “provida”: rechaza la legalización del aborto bajo cualquier circunstancia.","https://canaln.pe/actualidad/rafael-lopez-aliaga-aborto-no-pude-legalizado-peru-ninguna-circunstancia-n432281; https://gestion.pe/peru/politica/el-aborto-no-pude-ser-legalizado-en-el-peru-en-ninguna-circunstancia-senala-rafael-lopez-aliaga-noticia/; https://www.infobae.com/peru/2024/07/05/rafael-lopez-aliaga-ataca-al-movimiento-que-reclama-el-derecho-al-aborto-un-fango-verde-estamos-hechos-para-derrotar-a-esas-mareas/","3","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","seguridad","Seguridad","Endurecer penas y reforzar PNP.","Su discurso prioriza “mano dura” contra crimen organizado, refuerzo de inteligencia y control penitenciario; sin embargo, no hallé un plan sectorial propio 2024–2025 firmado por la candidata con metas y presupuesto. El referente verificable más reciente sigue siendo el plan partidario 2021 y entrevistas previas.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","educacion","Educacion","Infraestructura y meritocracia.","Elevar calidad con meritocracia docente (evaluación y formación), cerrar brechas de infraestructura (agua/saneamiento/aulas seguras), conectividad y recuperación de aprendizajes. Gestión con medición periódica y fortalecimiento de la carrera magisterial. No hay nuevo plan propio 2024–2025; se toma como referencia el documento 2021.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","mineria","Mineria","Estabilidad y atracción de inversión.","Promueve inversión con estabilidad jurídica y fiscalización socioambiental; prevención/gestión de conflictos y fortalecimiento de SENACE/OEFA. En minería ilegal, control y formalización. Sin plan propio 2024–2025; marco: plan 2021.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","produccion","Produccion","Clima proempresa; formalización.","Infraestructura logística (vial, portuaria, aeroportuaria y digital), simplificación regulatoria y crédito MYPE para productividad y empleo. Impulso de clusters y APP. Sin actualización 2024–2025 publicada por la candidata; rige el plan 2021 como referencia verificable.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
